SnapshotNumber,R200_Au1_ckpc,R200_Au2_ckpc,R200_Au3_ckpc,R200_Au4_ckpc,R200_Au5_ckpc,R200_Au6_ckpc,R200_Au7_ckpc,R200_Au8_ckpc,R200_Au9_ckpc,R200_Au10_ckpc,R200_Au11_ckpc,R200_Au12_ckpc,R200_Au13_ckpc,R200_Au14_ckpc,R200_Au15_ckpc,R200_Au16_ckpc,R200_Au17_ckpc,R200_Au18_ckpc,R200_Au19_ckpc,R200_Au20_ckpc,R200_Au21_ckpc,R200_Au22_ckpc,R200_Au23_ckpc,R200_Au24_ckpc,R200_Au25_ckpc,R200_Au26_ckpc,R200_Au27_ckpc,R200_Au28_ckpc,R200_Au29_ckpc,R200_Au30_ckpc,Time_Gyr,Redshift,ExpansionFactor
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052574206944318656,46.77304730532048,0.020932305063332858
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05644686607379252,44.5622037875765,0.021948016488892295
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06060478356641973,42.45367379881284,0.023013013919833868
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06460813920813131,40.639556931125924,0.024015625374065677
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06936720898859694,38.71255939348594,0.025180950693498495
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07447682531689938,36.87473954609402,0.026402821827539905
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07996280681870623,35.12197041925631,0.027683982584374985
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08524485123671242,33.61393967978289,0.028890094836100794
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09152397819451322,32.012074015330995,0.030291947108067017
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09826560419965621,30.48433957173081,0.031761822340967284
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10550379041006687,29.027305700565993,0.03330302125578822
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11327510527375036,27.63770051714242,0.03491900473648028
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12075750329935128,26.442125298337018,0.03644032629136781
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12965230769485472,25.172157225310418,0.038208543200746396
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13920223002726545,23.960960799485814,0.040062560413163244
15,6.913167480981261,9.975519503475168,9.427693082516887,8.450468137180874,5.785485910150318,3.337016598795198,4.65731442269277,9.117694042531793,0.0,0.0,5.0469850375094,6.318850514502481,6.785752053578836,8.46864315077181,5.992267143942709,6.197934556063674,11.355173509522352,8.039837611034695,0.0,4.486898676284351,0.0,5.730189233512606,3.7906103394623263,11.44885683729882,8.340401117897006,10.810498908432567,4.748300804102581,0.0,11.304782870351627,5.93264573343704,0.1494555068332514,22.805816183578962,0.04200654127077529
16,8.869265085637297,9.120031625089593,11.091178534031618,9.242612475514747,6.037962691515126,4.7933954651533055,5.4299407712131265,9.356157696711485,5.727805613908547,4.515134158723031,5.736727181201455,7.227994913862785,8.363866269087149,8.166085621398407,7.808981750529302,7.934792065393508,11.379302418722734,8.617357239709838,4.5563465912459575,5.927113729564951,9.029726179692357,6.456280717266438,6.5796668724410745,11.567910013164376,9.884687724086376,11.002263819703455,4.903073918024347,5.875225855710673,13.755858428221071,7.2382824759014035,0.15932754677170183,21.811963905687907,0.0438366466006314
17,10.241007590928893,10.253894528280902,12.507952141765298,11.61715178753891,9.019110174249088,5.8184030853454844,5.917944111918319,8.644787073838987,8.371186846562397,5.23677310427153,6.28558634366014,8.58919356132092,7.559633426949816,10.673825912011555,8.967405761459752,9.461620324249376,11.762091525803806,9.121688958754913,5.438946510717478,7.426147980642157,7.516081006948762,7.021548307555887,7.607695416123955,10.17607061938056,12.259334226845112,10.781624747867058,8.183871037896376,6.664166840169042,16.034719702837585,9.603003528910751,0.17106300649047537,20.756270677546635,0.0459637598199236
18,11.923030168323791,11.29718126075817,14.252222989782993,13.07851330525442,11.57175925992769,7.20709821758183,5.959148642560172,10.475518930331258,10.1503324749214,7.0922990022146095,8.525276275991216,10.367797051926217,10.209146519317306,12.431544387377485,9.589004831247596,7.815559551183569,12.33933974204205,9.098365354304013,6.17812007392985,7.857945928386097,7.892369957946124,7.833338096480604,7.577884023751027,11.39311009699992,16.72968258499941,10.09804401005266,9.78756055040171,8.76349943813821,17.695688233450134,11.531385457478777,0.1836627196688345,19.749432874416154,0.04819408829399815
19,13.899117470737473,12.287555623321877,16.79033192716483,14.77392029494896,14.735032046142011,8.182153237662837,7.803068395005368,11.564200938900118,11.490745052433619,8.516716133867444,10.89183537525045,11.298648949277705,10.092079807641813,13.869362422212205,10.068978142981088,9.356705331425937,9.590823638134868,10.09251131906048,9.099191272656299,8.713086811124496,10.168307536565152,7.668873840761305,9.989597219949067,14.922376713851957,19.005978153187108,11.382420569706653,10.223292947800546,10.219874525335804,19.29298134500586,14.880261749086328,0.19719030166495424,18.78918956244812,0.05053264040168657
20,14.966551664657644,17.533533388364802,18.14734326477369,18.84792816353984,11.381360343402513,8.396044790181893,9.43820876842652,12.420311348090328,12.48850526888145,9.561115313775952,14.553154105895281,12.633329570970652,10.507787464158241,12.782390655555854,11.621451785083504,12.912883006736594,13.03456510407956,9.405498416379471,10.425620269147418,9.564133145226233,11.820256241711435,7.708031440644872,13.186098446760871,16.7621696230161,20.919786264573787,12.89544252452552,11.312880580652529,11.477096098898013,20.385029554912364,16.80522319382933,0.21021479315974367,17.963024604582767,0.052734203580494826
21,18.436631818023145,20.4789039020748,20.303263638036096,23.69640008334092,14.538620141679354,10.755316293730363,11.199173886233838,11.20987646880888,13.320980121098351,11.865453627216125,16.387481661836397,13.56468787583099,10.28693263661251,16.71613120251707,14.077052715888184,14.872689685656889,17.52148267616648,10.285022442752815,11.740970828372397,11.146118595340848,13.064050801528209,9.364363971987148,14.16191617014557,18.146157295492454,22.735650903604824,14.305903559960992,13.191859261624069,13.136427909448047,20.994774428848604,17.26838198975685,0.22569760432258232,17.08545278556271,0.05529305856241996
22,21.594998566770478,23.079781259990153,22.140815161455517,25.874609258193544,18.849028929929492,14.41352030899174,12.317586894124698,12.7799857352289,14.599690001341944,9.90174410616523,18.512609435232477,14.53641036345893,11.451483010295853,22.407309192726004,15.468215296379986,19.515966931961273,25.78936788788478,16.61523998496067,13.183715514276907,12.068775211338169,15.333347364444377,11.000417528012449,16.871713056788785,19.69253755660646,25.290048709921173,15.632747576988534,14.250219347590592,13.046571840591904,27.79864446505062,19.902272719680447,0.2423204489771057,16.24849327990495,0.05797607847666511
23,25.451508189471966,25.955376102453982,25.451126150700027,28.11975767254671,25.412534737773434,16.097828934937432,14.78740296542196,14.367484636973083,16.400270341015045,11.122699481196964,20.66334067754941,16.45545020723688,16.42685639166948,28.896560680554895,17.049252520765688,21.829273536860708,30.04425187562619,20.273035850886558,14.433379453931638,14.957738662339496,16.443660600674054,13.579415607913258,16.677527421428792,21.127574129303035,28.014515610558806,17.389045775121375,14.394481585443382,13.790119610318959,30.505059346594045,23.562862415906164,0.26016719623837875,15.45026662890206,0.06078928825646293
24,28.013644342280358,28.835387752878294,29.77616509997917,29.753803463659054,29.168014344659653,20.692460827108363,16.136418973623837,17.328184799967183,18.391298382739958,12.77424415972832,24.34677024568026,15.867283652714262,21.53455123791252,31.079076724153047,11.691179357923131,23.455803608391268,33.647581105987214,24.83060723369903,16.08356157331775,17.04171481334092,17.525492709031653,15.265281247990629,17.81105981985517,22.19169640437294,31.796452089521903,17.29190623327503,16.83393656829298,18.796163284182285,37.54501697569272,28.041321539643135,0.2773499740676755,14.763496016419264,0.06343770436192578
25,30.29731820603115,32.41379926017169,32.35280498371938,32.18822872742485,28.384007569592104,25.182033431236242,17.328474764646604,18.707724056958767,21.60509373518294,15.098291825928026,26.37379101213847,18.265299796970154,25.998782852995234,33.376998710160905,16.267627303941914,19.61372625613188,36.694004997595655,27.99447918863481,18.71103460156884,19.245226498513478,18.831713503575422,18.471927802981714,20.702859702602115,23.464997275241167,36.90948860737116,20.075053189890355,12.626680996946764,17.578093126422804,41.697723457062864,30.30179822904022,0.29777559044036317,14.033992144452485,0.06651593205527902
26,33.33331436310192,38.005879416268044,35.20941332376195,34.29131918518491,31.460398142714585,26.734889112110597,18.934300533522368,20.80677424856954,25.68468376741273,17.190788266087804,28.335815714720308,21.21922907856374,29.29679988952835,35.1390412322747,18.583741481543047,27.376159055932742,39.0927357467487,34.06130710815423,23.68067877560357,20.953389185622182,17.225746187960414,20.564660612453626,21.668095776548213,24.66961499581176,42.06631666301397,23.4288245250434,15.126937862622523,19.85070298242942,44.65919456880177,32.07412831319263,0.3197047486478956,13.338248289848613,0.06974352653022431
27,37.5569371350733,44.11931056900328,35.37558919563395,37.29297582846714,33.38665412171358,38.26832356170794,20.540469862444837,23.850806962252896,31.16365021373101,20.565963392150742,30.13509464893648,25.38288138302199,31.7591139836457,36.369981149383854,21.41539636827314,29.411994198949284,41.00058790116566,36.88551636155207,26.02803218113175,22.29882254965699,19.37882738099683,23.802634346743716,24.01267871385974,26.249620165817152,46.14479768341299,28.677638721831944,17.8860150023655,25.870222683517177,47.13062262383819,36.19183289700419,0.343247955321711,12.674702104803705,0.07312773560520312
28,41.23108920770285,48.91444685291326,38.83052522214057,41.18255654126472,35.46295239279118,40.59309545248611,22.291651764362108,27.442095100096903,35.868537396091405,23.604773993124137,31.673377886869677,28.358116884472203,24.65295370778662,42.83182891364715,24.177785426866382,31.895861876156896,42.211024154687294,39.9929372780932,27.96220103512652,24.124278010951922,24.494421359833776,20.566602413837618,33.45331026773564,28.932865357810602,49.21895649047205,29.952785197271083,22.21711847358913,25.773836225293213,22.56382415608458,41.24716781788877,0.36852379870237556,12.041863543925086,0.07667615878911731
29,44.75718064260321,53.088987262371774,41.10282862258552,43.42076504267439,39.30586940580472,43.41668904628025,25.68978769546662,30.279153499241616,40.31191766481933,26.779755305730262,33.073852318867445,25.7267630019335,36.322743017201724,47.22361470880068,26.23212608823879,38.54231957015834,43.43534847953704,42.85309665477855,24.64556029558147,26.048975601579055,27.518321454780054,22.63154121553087,39.630349501758545,31.51087123629652,51.50005227963236,32.70246940533707,26.50591321218079,31.02889496949072,40.26086189339818,44.27965966248312,0.39285844643604356,11.497387954803507,0.08001672058325109
30,48.093822073827404,58.21454585680343,49.14686934723164,46.042941749245436,41.83869301542801,48.950512412376455,28.28579062343928,32.13782434585226,47.468130516763175,35.30565411252611,35.034172963617614,31.260819988861467,36.78668375579555,53.17755979089342,28.229119706614735,42.687253349031764,45.32069332817408,45.437726370964995,27.435589447052443,28.205480026920867,33.467467690140374,27.69048351690589,27.543426074513086,26.969029406662518,53.87168850926184,34.82819359897424,34.22535565621701,35.134803075538514,48.01374784662113,38.89825327550835,0.4217845366427611,10.919033198155363,0.08389942232519026
31,51.514613728652016,62.032740288855884,48.02723189133432,48.93143795858324,46.632647452777306,29.37410639699835,30.547754240718515,33.93461865381064,51.527493107683,38.45044061974718,37.12511788660646,34.64339952105105,40.96841418991156,57.05271922717039,30.81658035758605,49.66624418648186,47.5750409063379,47.41016506568264,34.46487472686019,28.657662766476165,37.63368570102744,29.992176417986414,48.42879037088713,29.9779227987686,55.55404983686279,37.065368671763416,37.00729877842868,43.670065954967434,51.63358445010636,46.07935086875534,0.45283841667700353,10.367443572408746,0.08797052684978504
32,55.763566495747064,65.46652675888717,57.28544405432987,50.845221333646556,48.93034956035527,36.13121516236306,33.095823670974504,37.6001295041454,58.056095963261804,40.49933928997974,39.06820555941377,40.201299575220546,43.14412224762415,59.040112403601135,35.88859855433877,54.90953668619972,50.30809131118248,48.857393897316776,37.33332077187213,34.53282540713825,44.414417655203785,28.06824565338353,51.96150014652727,40.29045753006177,57.20261584978919,39.642335624668085,44.95662961787877,48.91935563886062,56.034577654511665,54.110976707553625,0.48617612344336836,9.841380439471834,0.09223917614394847
33,58.07950202212391,69.43575018747237,73.67431369875497,53.35807448487481,50.892814019796894,43.4692784697499,36.20170818698676,44.97926885071662,62.606518548622375,48.94668652769632,43.377413261740614,45.2422159680649,39.33449757737679,46.46872258633134,41.31981565112542,58.713603929131544,53.1002450379823,47.11100397093099,39.62533902203736,43.61629743341747,49.56897546605795,30.93618872648709,56.30216970369143,26.82383543396306,59.72764476907276,55.75047823220769,33.579363823112914,52.34663920432782,65.24776970898664,54.61726878022522,0.5182708119347949,9.388771271940549,0.09625777426642748
34,61.790896003816584,72.00946019113425,83.07695300842573,58.06887639699933,52.42356367302588,47.535336358859965,38.40793537076849,49.593728280303154,65.6833323877224,54.99908767373439,48.69509063429127,49.388268378450405,48.683590992407865,55.760916960666854,45.463424662458735,63.37707151226085,55.84120007238153,50.99352933460938,40.99313402239228,48.34342806744192,31.40110792409394,38.64807559797612,60.16219600703102,46.54006763987086,62.3084348581772,60.77963662601351,43.64634107238198,56.544964962940014,62.511234231028254,60.66722927569147,0.5564188833202964,8.907999185598532,0.1009285508878038
35,65.40155268285379,78.31820660466305,88.30038498896351,63.82328180396418,54.68251770429596,55.70655201887582,41.24985583169421,57.42687535739779,69.5523737066876,58.21621143590988,52.75511286050077,54.3435146380477,52.34923376980056,60.73655694463673,48.72807239877522,71.45273900056671,30.918425297832112,60.025222739129184,44.25389815594078,50.89120890725868,44.750380902158774,44.56566378168605,59.90719749492337,50.6031956489026,64.46905925559913,40.13561089429001,48.93526384326338,60.7090941287431,74.17139286521405,64.91761125258083,0.5973702376992605,8.449476294368743,0.10582597054568338
36,75.19928604623853,83.78197120603461,96.59761847411178,67.7560823706376,57.275912324394014,68.46612479036952,44.824089648819644,62.52052409469123,73.61388011229889,53.359058440848585,58.044882163337256,57.581252003025654,68.24738423135123,70.78229118909776,50.50760350150662,80.50517793494691,44.319770985056344,66.52743468616008,46.732835059358045,53.415940990661895,53.98773484759861,48.02190533637015,65.91876171956957,51.560700247557584,66.8760739245984,41.25162310457448,56.15345492763331,66.42776929085034,79.9200374573157,69.26818083605092,0.6413297674135036,8.012172948865935,0.11096103078290759
37,82.44074576545188,90.03863391648251,107.08159791415326,72.68673522785137,61.16547379782898,74.253149162409,48.08020610205628,69.4091448974553,83.19745738192859,62.644898328560195,61.78942831529705,62.112297801751915,73.7361105314764,83.51359309146798,54.97652264986662,99.00657357025484,51.96898151010438,53.620532372716575,40.680420170918104,55.30636228254909,64.77448138864199,52.454841379678165,77.30109846062483,56.00336591138836,68.65717715810354,53.09796379927216,68.84570642085454,74.57151114105106,84.73965720439425,75.61526305383157,0.6885170787723454,7.5951071498715965,0.11634526278301709
38,71.22091567496977,94.85447725152765,113.5524661910029,77.54395418644162,54.32907412216448,77.9193856115624,50.79072996175833,78.20267148367579,86.71005927515502,75.08637297552772,64.95299518891136,64.30649763541851,79.62729131575618,88.96586904487762,51.93208041260759,103.73461944824372,67.66292537685268,60.93608562584312,50.732324753818006,57.64729798640476,73.35790314117821,54.327556960998216,80.83944811799172,65.21286950520188,70.17644915729211,60.54116747487308,77.37758866942384,61.49924925440653,87.71340852644269,92.5958970135884,0.7339395587934304,7.23627606616736,0.1214140944240273
39,91.8925718798897,100.04826961971585,120.31771870371479,80.62697959118613,57.03792690579934,81.2525831968784,53.61671198499718,83.59987338735799,93.69649849441774,82.93734119936519,68.32416028210912,63.78414894040398,95.68327601124479,92.86107040003934,56.119252837863456,107.29640814623721,100.58481696434072,69.19221833548364,53.30615019365558,70.0212644584344,77.84928836811252,56.52960095765124,73.39699202905244,56.84326303485433,71.93642207368454,72.53656375719521,81.7359474462729,87.40699694046532,91.56687695561072,100.4663134845499,0.7879217740331653,6.855117262650799,0.12730554701643482
40,100.88171880822522,103.39032280879579,126.73370532446314,82.57033661507006,60.62764016438924,91.39383812824569,64.16891970183445,87.48887966775747,101.25233489573134,87.98531019284836,70.24815151328022,77.47409331230388,100.1042946436526,95.17622535799006,64.61179883532492,108.77955411939438,108.76563581478214,85.46757574047648,59.30170726860557,77.15819397207663,84.34608031184656,55.855843975812405,86.4072536954279,68.5008161096459,74.45468423428817,69.8465105793162,84.70005709917052,79.68472905860497,95.85375875186232,105.21511588632067,0.8458612530645597,6.491597745667503,0.1334828742744916
41,109.73666293687555,109.08672428595487,126.27347778285414,83.48556408861737,71.1898578467474,95.57343574159174,71.74692534584202,89.56651644877704,104.09850725579513,91.77581643361653,72.34885354159556,87.38831826784592,105.76328380596539,100.52586755728642,75.67184876776453,107.62137747169756,122.44997878368052,96.48011544117696,69.51324634008814,80.6161395845924,104.47868805500158,58.280366464791896,87.82957579791591,56.38169423482297,77.11144781788138,78.37342907233068,84.41730443224964,96.57725773150369,83.16288699578867,108.64156941071502,0.9080449696361339,6.144901203416368,0.13995994787469493
42,118.71058328394098,112.97860547682521,143.79365493084313,83.65659652530962,76.41890772116894,97.43844458394405,76.78764384809948,88.09567817073314,107.1195379372313,92.79608533008447,72.82773776798099,92.0203652233435,110.40632468295763,121.90335001304507,79.97425947812731,108.32319643815148,132.3089757745942,104.64044162195236,73.89859519420656,76.84329507870538,112.23170043832172,60.90343367900401,92.43646316407299,60.86162379555986,78.4612210324262,63.5390889333275,83.16555851871186,108.19047781786807,104.21657097872615,108.52312090053168,0.9678924784937105,5.846613747881867,0.14605760406878063
43,125.9002011663463,116.91520994033577,175.3041029011621,84.4092623786763,81.50126020412662,97.68481836463914,81.2462067224115,89.06849730203017,113.36787824910775,94.34641515749543,66.5685904312753,95.5920154689177,112.72826289047055,130.2170743804353,88.05044917770415,110.7293590782349,153.02119405286862,110.87944809447986,76.43120991932145,89.88446615536304,118.74323523078009,58.86022986010568,107.11887830194162,71.76324582230083,78.03862018713262,97.02588668593584,87.23797089444584,113.29653869252897,106.88980895367911,106.51922584793746,1.0390037466325306,5.5297658079491026,0.15314484920464314
44,131.19455493444607,118.87764691497367,185.80068137523645,85.66532340640073,85.10917939671165,96.40641219147683,63.71590417272594,96.60975576344187,121.29152728794634,119.73300698902186,85.36366119450905,98.21312026814302,120.9429210312725,135.63382347653499,92.76093776306608,123.20551405055731,166.98222104402285,114.59406329517047,79.77215821929117,94.80769811556793,124.32169391814456,76.22218798690443,127.79207915283155,84.04671033258651,100.70181427688678,107.454049986549,89.37019249568634,118.05075010367511,112.67349117358421,105.59034942085455,1.1153094307021123,5.227580973127337,0.1605759932010687
45,139.90493998936324,124.50237901790912,193.24033401419462,86.50658377613205,89.58388684473859,104.43194190080634,71.51307364172933,103.9002758573251,125.54386618286173,135.27278309465072,94.67084578080254,103.36125488036394,128.16233244092834,140.60605534484154,95.50227208775688,138.31948458277688,175.38763471667846,125.92810373909973,64.16331829883293,113.42083596894747,128.04441163897673,90.71355625399978,138.29494615000084,91.69372482181599,108.95090537980998,113.46850561254827,78.43056997929912,125.48005746250679,120.32565631503392,105.9456729635616,1.1971818637655258,4.939380663491011,0.1683677232791182
46,145.5272424356484,127.04193090748714,195.07587914694125,88.55482830803568,107.12135193427791,101.64125586252605,81.66043019952616,118.28252395662531,129.656802153225,143.10142266393254,111.08139543841507,109.04215492821557,132.73689218093043,152.86248580217188,98.014888869673,146.6799551043624,183.6354065490223,154.6791873534767,69.26554779185295,129.14797048468813,131.38882852117803,101.63941987763646,154.76295004134442,95.28804453351214,97.20556034492289,133.65591805435415,89.86429230942036,129.22784132434677,135.1220014613516,108.13076983023063,1.2850184010432497,4.664517702470927,0.1765375363843931
47,147.1536941754883,123.49404952018438,192.75106053199673,67.58660007687608,113.10946612437601,103.57838482988326,88.25220962497396,138.83961800261025,123.68956542004523,147.6299728424795,121.35289535772947,84.31946402790801,135.29280302569248,158.46515310466756,99.01126797473306,157.2865277629907,186.70578894404795,176.1627721455802,90.92470001326527,138.76812453113052,133.3817076644346,109.73856488529412,162.62750675214926,106.19975348322446,108.95096034941744,141.87473189748107,98.72416171490029,135.04950754301586,142.39296336889583,110.85528345503462,1.3695201902254341,4.428033736605549,0.18422877390319162
48,155.13363209237951,137.26344146576537,190.29482057950517,66.35058096803641,120.85463984167048,108.34256772782506,90.66403413462713,148.79449298287875,133.4829946631648,151.84254672334876,125.82548647586867,99.62194733199635,136.05014129569437,162.62582468216058,103.78961104355996,163.4696301447179,192.03087072272524,188.01773757169042,109.50076636336486,147.83294262111372,138.2464849440524,120.99166807917977,170.23223312234956,115.3951243909566,133.34588946820503,146.16407633214746,108.6161514642194,139.17329451389435,142.43464132528206,116.275759490521,1.4698784905942934,4.176834914726472,0.19316822276007173
49,176.89199895832027,147.85638166174033,190.61109371306324,75.76371397577381,131.36740136818494,112.30686587958064,93.5864383463348,155.95913267564825,144.451443241711,156.88538155549392,136.6492550475453,107.74619146242631,140.56652120314678,166.41098787708236,108.35650802028027,174.4904647591861,197.5043704415803,196.62822086198574,124.75033592329945,166.10942461048413,144.76567150587104,126.11277963236685,171.6108269020926,124.81312220895539,155.56927722552646,152.77237962160171,129.88188070798495,149.18670113220034,151.76297271957048,120.12728199558447,1.5775064849710334,3.9372610847275835,0.20254144612552438
