Time_Gyr,Delta1200_Au1,Delta1200_Au2,Delta1200_Au3,Delta1200_Au4,Delta1200_Au5,Delta1200_Au6,Delta1200_Au7,Delta1200_Au8,Delta1200_Au9,Delta1200_Au10,Delta1200_Au11,Delta1200_Au12,Delta1200_Au13,Delta1200_Au14,Delta1200_Au15,Delta1200_Au16,Delta1200_Au17,Delta1200_Au18,Delta1200_Au19,Delta1200_Au20,Delta1200_Au21,Delta1200_Au22,Delta1200_Au23,Delta1200_Au24,Delta1200_Au25,Delta1200_Au26,Delta1200_Au27,Delta1200_Au28,Delta1200_Au29,Delta1200_Au30
4.667682,1.158263,1.689885,1.371684,1.309683,1.134735,1.030115,0.949424,1.101949,1.155607,0.993765,1.198597,1.213918,1.15258,1.65178,0.952124,1.526903,1.315577,1.639286,0.93077,1.197678,1.490293,0.994898,1.488436,1.585756,0.883778,1.444763,1.582986,1.405541,1.532509,1.058781
4.82749,1.247238,1.817699,1.472706,1.399722,1.220637,1.117077,1.025348,1.22738,1.241383,1.083153,1.294598,1.310881,1.24566,1.777953,1.037783,1.656719,1.403971,1.832509,1.019736,1.327964,1.616135,1.070364,1.604293,1.712712,0.963409,1.569229,1.702633,1.534003,1.637355,1.20659
4.992162,1.340753,1.951653,1.576854,1.505891,1.311033,1.228883,1.157415,1.353306,1.329979,1.17243,1.397834,1.412787,1.342853,1.912676,1.117093,1.784987,1.496632,1.991637,1.112686,1.47327,1.752868,1.15505,1.721578,1.856663,1.057172,1.691651,1.834178,1.714059,1.759785,1.337044
5.127464,1.422565,2.065764,1.664974,1.599656,1.388422,1.31411,1.191323,1.447877,1.406032,1.25682,1.488427,1.496493,1.423892,2.023955,1.181229,1.889028,1.575374,2.105933,1.188789,1.600659,1.881833,1.221649,1.819419,1.986201,1.149148,1.793937,1.946719,1.826677,1.860809,1.439492
5.301119,1.534128,2.215601,1.78025,1.724588,1.488841,1.413191,1.298393,1.573336,1.508228,1.364648,1.610572,1.605972,1.607458,2.164954,1.266229,2.025447,1.676665,2.270217,1.311354,1.761948,2.073853,1.307824,1.948143,2.149457,1.265798,1.928857,2.091367,1.969689,1.992186,1.583182
5.443716,1.633399,2.3432,1.876112,1.843608,1.573002,1.495574,1.384284,1.673801,1.596313,1.450742,1.712013,1.697932,1.652906,2.284016,1.341516,2.145015,1.760265,2.416206,1.402557,1.884844,2.293386,1.379979,2.060046,2.283182,1.358962,2.04381,2.210485,2.092201,2.105597,1.703252
5.589624,1.73723,2.478677,1.977067,1.96984,1.661491,1.580161,1.472254,1.772612,1.686519,1.53844,1.812524,1.797352,1.78654,2.411723,1.416192,2.270408,1.847514,2.571028,1.495143,2.008941,2.502953,1.454929,2.176947,2.417103,1.456442,2.163266,2.336558,2.225207,2.224355,1.816205
5.73888,1.852443,2.627059,2.082554,2.129709,1.757255,1.667318,1.574291,1.881947,1.780076,1.630482,1.912805,1.897915,1.912785,2.542281,1.49338,2.399296,1.93718,2.727272,1.593685,2.135071,2.683823,1.533801,2.296573,2.552328,1.567114,2.290946,2.471442,2.360825,2.345752,1.926481
5.930215,2.03534,2.833887,2.221089,2.414275,1.894717,1.785391,1.704339,2.021007,1.905177,1.747101,2.040957,2.039012,2.069965,2.713052,1.600967,2.567528,2.052742,2.939145,1.721419,2.294802,2.898094,1.644905,2.450545,2.727629,1.745122,2.473265,2.650376,2.545583,2.506103,2.0639
6.087135,2.257933,3.011093,2.335929,2.604136,2.002228,1.883545,1.845617,2.13383,2.009646,1.84319,2.145956,2.154476,2.230443,2.858023,1.704338,2.707434,2.148876,3.113667,1.829615,2.426729,3.069849,1.733171,2.578547,2.872804,1.864064,2.619624,2.804448,2.691948,2.639992,2.178026
6.207093,2.390301,3.151094,2.425586,2.757689,2.083754,1.957618,1.974686,2.220187,2.094795,1.916229,2.229873,2.238907,2.340073,2.969985,1.781565,2.821464,2.223928,3.241592,1.915635,2.528893,3.203359,1.80002,2.678465,2.98471,1.951182,2.726596,2.929372,2.80616,2.742531,2.264984
6.370084,2.558031,3.355258,2.549865,2.964067,2.196502,2.058179,2.122706,2.342947,2.205928,2.016265,2.348054,2.353651,2.484947,3.123724,1.881071,2.977563,2.32259,3.413253,2.037967,2.667045,3.384731,1.891911,2.814691,3.143648,2.068464,2.873401,3.103523,2.989524,2.885397,2.384685
6.53658,2.720151,3.706378,2.677772,3.150386,2.312684,2.165016,2.273707,2.464373,2.319206,2.119192,2.470502,2.481279,2.63396,3.298852,1.991991,3.134752,2.424738,3.599919,2.18057,2.812078,3.576605,1.986627,2.954463,3.311441,2.18529,3.030523,3.277255,3.161404,3.03787,2.512076
6.706604,2.884782,3.978961,2.810852,3.331422,2.430216,2.274096,2.48066,2.589652,2.435913,2.226843,2.598983,2.625133,2.772851,3.51013,2.14509,3.299793,2.532645,3.782318,2.337669,2.958997,3.763091,2.082855,3.102146,3.489469,2.300547,3.194315,3.503867,3.327645,3.218701,2.647024
6.836449,3.01585,4.155056,2.912892,3.467157,2.52235,2.356437,2.615349,2.688411,2.525231,2.312923,2.697573,2.726671,2.878468,3.648105,2.317985,3.428793,2.616452,3.924194,2.439777,3.074224,3.899883,2.157008,3.214252,3.631545,2.388708,3.321362,3.652669,3.438496,3.36724,2.757325
7.012693,3.206313,4.391396,3.05525,3.649256,2.648121,2.471198,2.790632,2.825615,2.6495,2.431603,2.844366,2.862304,3.03328,3.826472,2.49323,3.619213,2.731112,4.1173,2.581922,3.2364,4.091641,2.259225,3.367073,3.824108,2.508949,3.489861,3.843413,3.616901,3.543674,2.899636
7.147221,3.349159,4.561932,3.164779,3.790807,2.747872,2.559965,2.918151,2.937945,2.745115,2.527541,2.960784,2.967749,3.151886,3.964609,2.602675,3.769728,2.821163,4.252732,2.694334,3.359076,4.239696,2.336334,3.48419,3.966854,2.601097,3.61938,3.986876,3.758812,3.706906,2.978397
7.329727,3.530898,4.789131,3.31839,3.988493,2.885675,2.681503,3.077761,3.106473,2.878177,2.652197,3.109822,3.112232,3.317871,4.162769,2.766539,4.011038,2.945903,4.464474,2.855541,3.527439,4.446741,2.441881,3.644043,4.164117,2.725199,3.800922,4.187377,3.935521,3.90209,3.158597
7.468963,3.674503,4.958902,3.435808,4.144779,2.993153,2.77514,3.194002,3.254195,2.97746,2.744627,3.225183,3.219766,3.454265,4.312676,2.876533,4.173337,3.042596,4.640465,2.980739,3.658545,4.603888,2.523103,3.767325,4.31798,2.82074,3.941366,4.346594,4.073298,4.052729,3.271342
7.657754,3.877861,5.193728,3.595321,4.369557,3.131922,2.903222,3.35098,3.500189,3.111646,2.87063,3.39587,3.366977,3.639064,4.513608,3.024289,4.3831,3.171602,4.953961,3.174598,3.838733,4.816959,2.633636,3.936404,4.529124,2.951522,4.140351,4.58661,4.264839,4.285591,3.427041
7.801707,4.045214,5.374222,3.717099,4.536582,3.238908,3.001363,3.469295,3.66417,3.213627,2.97288,3.585294,3.478174,3.777933,4.662956,3.138954,4.535881,3.27063,5.341609,3.378588,3.976278,4.98002,2.718313,4.065018,4.748623,3.0533,4.293234,4.750265,4.411741,4.536096,3.54352
7.94768,4.256842,5.558905,3.844927,4.705826,3.347747,3.104453,3.585956,3.8245,3.31659,3.080452,3.797751,3.591848,3.91694,4.815069,3.252734,4.68854,3.373073,5.703689,3.531258,4.118624,5.144896,2.804875,4.197254,4.945644,3.155473,4.455744,4.911763,4.560414,4.74546,3.66286
8.095671,4.522911,5.743921,3.970843,4.88655,3.459049,3.208426,3.702807,3.981108,3.420195,3.201165,3.948729,3.707806,4.063962,4.970449,3.363818,4.839486,3.474094,6.032605,3.666077,4.266308,5.316295,2.892144,4.330215,5.122894,3.258002,4.645114,5.073083,4.714137,4.966531,3.782057
8.296127,4.82676,6.003135,4.140383,5.119776,3.607562,3.342512,3.85753,4.18596,3.560254,3.382975,4.141063,3.865092,4.252961,5.175977,3.513831,5.042601,3.611433,6.430701,3.8491,4.478623,5.573479,3.010381,4.508851,5.373879,3.404811,4.894513,5.295982,4.929616,5.269019,3.945414
8.448812,5.017642,6.212733,4.267838,5.297472,3.719659,3.444957,3.973541,4.338229,3.667454,3.505949,4.288924,3.988766,4.396138,5.331983,3.630006,5.199125,3.714484,6.713391,3.981158,4.668467,5.755129,3.100802,4.645702,5.583905,3.513762,5.066506,5.463622,5.097845,5.508815,4.069486
8.603499,5.201483,6.414152,4.396519,5.469018,3.835181,3.549152,4.087563,4.51292,3.775603,3.622713,4.44299,4.111954,4.538023,5.495153,3.753219,5.354644,3.818177,7.001014,4.112776,4.870556,5.932133,3.192026,4.784155,5.827572,3.628699,5.233532,5.633291,5.264588,5.864186,4.195805
8.760179,5.38806,6.615076,4.527415,5.6407,3.951549,3.654918,4.216407,4.72881,3.885042,3.738444,4.613706,4.237043,4.678603,5.67901,3.87371,5.512187,3.92314,7.278693,4.24003,5.063763,6.110457,3.28459,4.923532,6.120293,3.739784,5.400205,5.81425,5.431492,6.116742,4.323574
8.918845,5.578113,6.815912,4.658735,5.811716,4.069832,3.763869,4.353803,4.915526,3.997317,3.85354,4.801787,4.367468,4.823758,5.846696,3.993252,5.681916,4.030013,7.575035,4.370368,5.294343,6.289471,3.377756,5.064149,6.420492,3.849602,5.567391,5.996541,5.597632,6.342035,4.464364
9.079485,5.801181,7.024262,4.793581,5.987004,4.191695,3.872729,4.491908,5.094438,4.111489,3.969486,5.033289,4.499723,4.983522,6.009065,4.112376,5.858109,4.137293,7.897716,4.503635,5.504672,6.469011,3.470963,5.207995,6.75978,3.96126,5.73402,6.188758,5.772217,6.548796,4.605406
9.242088,6.145485,7.231799,4.928434,6.170996,4.315553,3.980175,4.629817,5.287068,4.229426,4.08673,5.290551,4.631059,5.132901,6.170898,4.232106,6.019464,4.246403,8.211817,4.640028,5.711137,6.652169,3.566118,5.357286,7.036384,4.077403,5.907972,6.386123,5.949424,6.73754,4.757433
9.406642,6.387004,7.438108,5.063697,6.355686,4.442906,4.088212,4.774932,5.51584,4.351614,4.203711,5.633296,4.764499,5.279898,6.322573,4.357227,6.186398,4.35672,8.493253,4.775839,5.905963,6.849355,3.663277,5.50558,7.29615,4.201422,6.078722,6.581899,6.138227,6.944506,4.895371
9.573131,6.59868,7.644344,5.199232,6.54319,4.570914,4.198153,4.918875,5.705008,4.468422,4.321188,5.8069,4.896994,5.427488,6.475627,4.485504,6.349516,4.474141,8.781757,4.911848,6.08395,7.049693,3.759704,5.654067,7.572475,4.316069,6.248342,6.775958,6.333589,7.172406,5.032899
9.741542,6.801506,7.849673,5.335815,6.738871,4.704397,4.309919,5.057161,5.890712,4.58314,4.440823,5.980724,5.032156,5.578297,6.643285,4.611789,6.51451,4.589747,9.053499,5.049209,6.263003,7.24499,3.856796,5.803455,7.865636,4.430106,6.419418,6.973044,6.537445,7.369371,5.171504
9.854875,6.939579,7.986559,5.42783,6.892526,4.79888,4.383716,5.146394,6.011617,4.659895,4.519492,6.117616,5.121286,5.677343,6.761568,4.696604,6.628117,4.666036,9.233516,5.142048,6.385501,7.377744,3.922403,5.902485,8.034217,4.506658,6.534093,7.105194,6.681119,7.502441,5.262678
10.02645,7.155227,8.193273,5.56566,7.105679,4.946178,4.494724,5.286212,6.175384,4.774063,4.638401,6.311438,5.255387,5.825441,6.929511,4.821078,6.802324,4.780923,9.501825,5.286885,6.575247,7.581574,4.022304,6.052779,8.281463,4.62163,6.708985,7.302088,6.921241,7.706527,5.398238
10.199899,7.371308,8.403664,5.705873,7.300263,5.081893,4.606548,5.424991,6.362697,4.887812,4.759911,6.486958,5.391626,5.976615,7.100952,4.944848,6.978438,4.898944,9.772581,5.429847,6.762886,7.795172,4.120324,6.203767,8.515936,4.735645,6.889281,7.496966,7.130756,7.934669,5.535332
10.375205,7.590416,8.615862,5.849261,7.492345,5.21334,4.722065,5.562213,6.57886,5.001683,4.882622,6.662646,5.525448,6.131581,7.274406,5.068858,7.151945,5.012413,10.03295,5.570478,6.945294,8.021065,4.217906,6.355076,8.742496,4.854475,7.079678,7.689554,7.333927,8.149821,5.670311
10.552345,7.848769,8.842517,5.991744,7.6816,5.345154,4.833607,5.697667,6.78919,5.116542,5.004274,6.837623,5.658451,6.288198,7.448813,5.192875,7.321714,5.126157,10.295108,5.712105,7.137851,8.237647,4.315587,6.506551,8.971224,4.974073,7.282899,7.881056,7.532059,8.358289,5.804361
10.671447,8.104717,9.016661,6.087503,7.805439,5.43314,4.907573,5.788734,6.925929,5.194767,5.084694,6.958748,5.747793,6.399046,7.564688,5.27515,7.430676,5.203371,10.471536,5.805751,7.266543,8.378959,4.380597,6.60866,9.126047,5.058291,7.414525,8.01079,7.661641,8.493773,5.896012
10.851597,8.539981,9.259815,6.232357,7.990637,5.563422,5.017268,5.928513,7.11384,5.309874,5.204113,7.153876,5.880999,6.556542,7.743534,5.40002,7.59067,5.32033,10.738659,5.947492,7.453942,8.588606,4.478285,6.761548,9.360046,5.176596,7.61036,8.205953,7.855454,8.694449,6.032294
11.033523,8.813243,9.486146,6.384532,8.171371,5.693399,5.127586,6.068672,7.290122,5.423659,5.325224,7.374233,6.014533,6.712979,7.917343,5.523108,7.741534,5.436637,11.007768,6.091399,7.637531,8.791844,4.576615,6.917903,9.592375,5.293254,7.808845,8.398978,8.05178,8.900038,6.173782
11.155782,8.974266,9.635704,6.484487,8.289615,5.77974,5.20114,6.160901,7.409466,5.49991,5.407429,7.527063,6.103389,6.818115,8.031329,5.604504,7.828572,5.513287,11.206264,6.191502,7.761077,8.922621,4.641587,7.023366,9.750957,5.370139,7.949652,8.5267,8.183307,9.048248,6.267296
11.340614,9.348913,9.845289,6.630435,8.486309,5.909094,5.312954,6.300756,7.587175,5.610613,5.533596,7.719764,6.238513,6.982054,8.206533,5.72794,7.948383,5.630117,11.499593,6.340966,7.946159,9.11738,4.738567,7.179504,9.992652,5.486227,8.184149,8.71965,8.386332,9.254653,6.407507
11.527156,9.553775,10.05191,6.77314,8.731093,6.039419,5.423663,6.436812,7.777116,5.720527,5.655664,7.908248,6.378674,7.143422,8.388056,5.851764,8.09096,5.747718,11.769638,6.483263,8.130901,9.311344,4.83276,7.336276,10.258574,5.60434,8.419719,8.910645,8.600185,9.451091,6.54758
11.652454,9.689462,10.191283,6.867695,8.882389,6.127806,5.496246,6.525791,7.901554,5.794664,5.735426,8.028306,6.469957,7.254765,8.50829,5.936328,8.190181,5.824262,11.945432,6.577624,8.249173,9.439762,4.894321,7.443863,10.451428,5.682987,8.57099,9.036706,8.760419,9.581717,6.639942
11.841788,9.890827,10.399065,7.006151,9.09897,6.256555,5.604126,6.668334,8.085382,5.904212,5.855282,8.130514,6.602686,7.418149,8.686153,6.073047,8.345669,5.941232,12.205855,6.721326,8.425671,9.630435,4.985808,7.636272,10.727957,5.796526,8.787332,9.227574,9.014468,9.775142,6.778002
11.968923,10.024378,10.537785,7.098235,9.281507,6.340668,5.676227,6.772873,8.196601,5.976563,5.935514,8.265764,6.69021,7.524534,8.801593,6.172178,8.449574,6.019017,12.376428,6.815398,8.543737,9.758455,5.045692,7.761549,10.907906,5.867621,8.93503,9.355608,9.234911,9.91322,6.871367
12.160973,10.22687,10.743703,7.237725,9.673438,6.467353,5.78369,6.991176,8.350961,6.085133,6.05553,8.45485,6.820874,7.689826,8.97414,6.310686,8.604116,6.136976,12.629965,6.957865,8.715692,9.942502,5.133738,7.92713,11.255519,5.980421,9.168037,9.558299,9.556853,10.115113,7.005333
12.354616,10.534189,10.947468,7.375701,9.947746,6.59621,5.890136,7.152942,8.502436,6.194281,6.17573,8.640145,6.950683,7.857228,9.146779,6.448839,8.7574,6.255628,12.883065,7.101721,8.888559,10.12415,5.222493,8.085085,11.539364,6.107553,9.406106,9.752852,9.810913,10.309279,7.138953
12.484582,10.772084,11.08137,7.470884,10.10638,6.680294,5.962128,7.251947,8.586198,6.26606,6.257616,8.763623,7.036976,7.969396,9.260485,6.538445,8.85855,6.343662,13.059434,7.197296,9.004861,10.244729,5.2825,8.188959,11.706727,6.199816,9.564561,9.881977,9.980391,10.442756,7.22593
12.680815,11.058644,11.284662,7.613388,10.328057,6.804724,6.067417,7.401656,8.683666,6.372312,6.382532,8.940248,7.173344,8.140651,9.431066,6.664296,9.011688,6.468111,13.309131,7.342788,9.177581,10.420657,5.371813,8.352311,11.945628,6.351604,9.804193,10.074835,10.223133,10.646135,7.352536
12.81248,11.309352,11.420945,7.710143,10.470141,6.886619,6.137348,7.504807,8.75548,6.444168,6.470017,9.054736,7.275842,8.281389,9.542114,6.745444,9.117802,6.549884,13.494415,7.43865,9.292398,10.537952,5.429315,8.459203,12.106068,6.457547,9.967348,10.200728,10.383062,10.779399,7.43628
13.011221,11.592545,11.619626,7.853139,10.695527,7.012044,6.240221,7.679291,8.895527,6.550693,6.591559,9.223616,7.412294,8.482566,9.708196,6.866287,9.276821,6.676199,13.745549,7.585731,9.46428,10.711474,5.514278,8.611602,12.377551,6.625699,10.218487,10.384115,10.628165,10.979969,7.562511
13.14453,11.751138,11.750866,7.948963,10.851298,7.095906,6.307619,7.775496,9.002446,6.619885,6.669131,9.342547,7.498449,8.619561,9.817441,6.944579,9.379876,6.76791,13.91144,7.687781,9.582783,10.82575,5.570803,8.713268,12.539229,6.726075,10.420173,10.505887,10.824532,11.10866,7.645033
13.345696,11.979892,11.942715,8.098886,11.11118,7.22608,6.408019,7.917303,9.161528,6.722746,6.786575,9.513386,7.624758,8.809405,9.981443,7.061178,9.52928,6.906952,14.173068,7.855861,9.750847,11.003154,5.651803,8.874205,12.769922,6.861058,10.670608,10.690164,11.215936,11.302344,7.770321
13.480594,11.622032,12.072798,8.201558,11.254249,7.317519,6.473765,8.01768,9.281566,6.792189,6.868917,9.625138,7.706584,8.921473,10.089463,7.139002,9.625241,7.000993,14.332227,7.975436,9.862501,11.120407,5.704222,8.972215,12.920859,6.949312,10.856914,10.812214,11.416801,11.431492,7.852565
13.6841,11.868989,12.263708,8.369643,11.465668,7.469454,6.571746,8.163926,9.481296,6.896103,6.990128,9.806229,7.829763,9.087983,10.247319,7.257914,9.76616,7.149979,14.570075,8.190125,10.0251,11.293103,5.782354,9.116031,13.163799,7.087355,11.129357,10.99999,11.654596,11.62699,7.979721
13.82053,12.008383,12.38937,8.523007,11.603826,7.581145,6.635907,8.254119,9.600904,6.963032,7.074233,9.92594,7.911174,9.193971,10.352119,7.337592,9.862871,7.262083,14.72541,8.354161,10.132016,11.409754,5.834153,9.212044,13.325447,7.179879,11.29793,11.126658,11.799974,11.762074,8.070236
