Galaxy,VirialRadius_kpc,VirialMass_10^10Msun,SubhaloStellarMass_10^10Msun,SubhaloGasMass_10^10Msun,SubhaloBaryonMass_10^10Msun,DiscToTotal,DiscRadius_kpc,DiscHeight_kpc,Group
1,206.0,93.4,3.0,8.8,11.8,0.76,19.7,2.7,E
2,261.7,191.4,9.4,12.5,21.9,0.81,33.7,3.1,G1
3,239.0,145.8,8.7,9.7,18.5,0.74,23.6,2.5,G1
4,236.3,140.9,8.8,12.8,21.6,0.38,21.8,3.6,G2
5,223.1,118.6,7.1,8.5,15.6,0.63,13.8,2.0,E
6,213.8,104.4,5.4,6.8,12.2,0.80,21.1,2.5,G1
7,218.9,112.0,5.9,11.6,17.5,0.60,21.7,3.2,G2
8,216.3,108.1,4.0,9.5,13.4,0.84,29.2,3.5,G1
9,214.2,105.0,6.3,6.6,12.9,0.66,12.0,1.9,G1
10,214.0,104.7,6.2,8.6,14.8,0.73,8.4,1.6,G1
11,249.0,164.9,6.4,8.8,15.3,0.62,19.3,2.5,G1
12,217.1,109.3,6.6,8.8,15.4,0.68,14.9,2.6,G2
13,223.3,118.9,6.7,10.0,16.7,0.68,12.3,2.4,G1
14,249.4,165.7,11.7,14.1,25.8,0.61,17.7,2.8,G1
15,225.4,122.2,4.3,9.3,13.7,0.69,19.2,3.0,G2
16,241.4,150.3,7.0,10.4,17.4,0.88,31.1,3.1,G1
17,212.7,102.8,7.9,6.1,14.0,0.76,11.8,1.8,G1
18,225.3,122.1,8.4,7.1,15.5,0.80,14.0,2.0,G1
19,224.5,120.9,6.2,9.7,15.8,0.47,22.0,3.1,E
20,227.0,124.9,5.6,14.2,19.8,0.72,24.1,3.3,G2
21,238.6,145.1,8.7,11.8,20.5,0.80,18.6,2.9,G1
22,205.5,92.6,6.2,3.6,9.8,0.69,7.9,1.6,G1
23,245.2,157.5,9.8,9.8,19.6,0.77,18.0,2.2,G1
24,240.8,149.2,7.7,10.5,18.2,0.69,25.0,2.9,G1
25,225.3,122.1,3.7,7.9,11.6,0.86,22.8,2.9,G1
26,244.6,156.4,11.4,12.9,24.3,0.71,10.7,1.8,G1
27,253.8,174.5,10.3,12.5,22.8,0.71,17.2,2.4,G1
28,246.8,160.5,11.0,12.3,23.3,0.59,10.8,2.2,E
29,243.5,154.2,10.4,8.7,19.1,0.12,18.1,3.7,E
30,218.1,110.8,5.4,9.9,15.3,0.41,23.8,3.0,E